,Name,Platform,Date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,Total_Shipped,game_id,developer
5651,Oddworld: Abe's Oddysee,PS,1997.0,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,,1.24,65626,Oddworld Inhabitants
5660,Ridge Racer V,PS2,2000.0,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,,1.24,65628,Namco
5661,WWE SmackDown vs. Raw 2009,PS2,2008.0,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,,1.24,65629,Yuke's Media Creations
5680,Frogger: The Great Quest,PS2,2001.0,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,,1.23,65633,Konami
5681,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,,1.23,65634,EA Canada
5686,Ninja Gaiden,XB,2004.0,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,,1.2,65635,Tecmo
5697,Driv3r,PS2,2004.0,Racing,Atari,0.6,0.47,0.0,0.16,1.23,,1.23,65637,Reflections Interactive
5701,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003.0,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,,1.23,65638,Various
5702,Farming Simulator 2015,PC,2014.0,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23,,0.92,65639,Giants Software
5714,Medal of Honor: Airborne,PS3,2007.0,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23,,1.21,65641,EA Los Angeles
5718,Kirby Tilt 'n' Tumble,GB,2000.0,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,,,65642,HAL Laboratory
5723,Vigilante 8,PS,1998.0,Racing,Activision,0.68,0.47,0.0,0.08,1.23,,1.23,65644,"Luxoflux, Inc."
5726,Castlevania,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,,,65645,Konami
5731,Donkey Kong Country 2,GBA,2004.0,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,,1.23,65646,Rare Ltd.
5732,Bayonetta,PS3,2009.0,Action,Sega,0.44,0.41,0.21,0.17,1.23,,,65647,PlatinumGames
